question,intent
시간 좀 알려줘,시간
지금 몇시 몇분이야,시간
지금 몇 시 몇 분이야,시간
지금 시간 알려줄 수 있니,시간
지금 몇시야,시간
지금 몇 시야,시간
지금 몇시지,시간
지금 몇 시야,시간
시간,시간
시간 알려줘,시간
시간 알려줄래,시간
몇 신지 아니,시간
지금 몇시야,시간
지금 시간이 어떻게 되니,시간
시간 알려주라,시간
시간 좀 알려줘,시간
지금 몇시 몇분이야,시간
지금 몇 시 몇 분이야,시간
지금 시간 알려줄 수 있니,시간
오늘 5시에 깨워줄래,알람
내일 2시에 깨워줄래,알람
모레 3시에 깨워줘요,알람
이따 알람 맞춰줘요,알람
내일 7시에 알람 맞춰줄래요,알람
오늘 6시에 알람 맞춰줘요,알람
내일 12시에 깨워줄래,알람
모레 9시에 알람 맞춰주라,알람
내일 12시에 깨워줄래,알람
이따가 깨워줘,알람
이따 알람 맞춰줄래요,알람
이따가 7시에 나 좀 깨워주세요,알람
내일 12시에 알람 맞출거야요,알람
이따 깨워주세요,알람
다음주 2시에 알람 맞춰줘요,알람
10시에 깨워 줄 수 있니,알람
알람 맞춰줄래요,알람
30분 뒤에 깨워줘,알람
1시간 후에 깨워줘요,알람
2시간 후에 깨워줘,알람
40분 있다가 깨워주세요,알람
한 20분 정도 뒤에 깨워줄래,알람
이따 저녁 2시에 깨워줄래,알람
이따 오전 2시에 깨워줘,알람
모레 저녁 5시에 깨워줘요,알람
모레 아침 3시에 깨워줄래요,알람
내일 아침 8시에 깨워줘요,알람
내일 저녁 8시에 깨워줘요,알람
내일 정오에 깨워줄래,알람
내일 오전6시 반에 깨워줘,알람
내일 3시에 깨워줄래요,알람
12월 22일에 알람 맞춰줘요,알람
8월 30일에 알람 맞춰줘,알람
4월 24일에 알람 맞춰줘,알람
1월 23일에 알람 맞춰줄래요,알람
수요일 아침 8시에 깨워줄래요,알람
평일 매일 아침 8시에 깨워줘,알람
이따가 알람 맞춰줘,알람
저녁 5시에 청소하라고 해줘요,알람
오늘 6시에 티비보라고 해줄래,알람
오전 10시에 공부하라고 해줄래요,알람
내일 7시 10분에 깨워줄래,알람
내일 6시 20분에 깨워줘요,알람
오늘 오후 9시에 깨워줄래요,알람
3월 4일에 알람 맞춰줄래,알람
3월 8일에 알람 맞춰줄래,알람
3월 9일에 알람 맞춰줄래요,알람
3월 10일에 알람 맞춰줘요,알람
10시 5분 전에 알람 맞춰줘,알람
내일 2시에 알람 맞춰줘,알람
매일 2시에 알람 맞춰줘,알람
월요일 오후 4시에 알람 맞춰줄래,알람
내일 1시에 알람 맞춰줄래요,알람
내일 5시에 25분알람 맞춰줘요,알람
모레 1시에 알람 맞춰줄래요,알람
오늘 5시에 알람 맞춰줄래,알람
내일 1시에 알람 맞추고 싶은데요,알람
오늘 2시에 25분알람 맞출래,알람
내일 2시에 알람 맞출래요,알람
모레 2시에 25분알람 맞출래요,알람
오전 2시에 알람 맞출래요,알람
오후 2시에 알람 맞출래,알람
새벽 2시에 25분알람 맞출래,알람
점심 2시에 알람 맞출래,알람
저녁 8시에 12분 알람 맞출래요,알람
밤 12시에 알람 맞출래요,알람
밤 2시에 알람 맞출래,알람
밤 열두시에 12분 알람 맞출래요,알람
오늘 오후 5시 알람 맞춰줘,알람
오늘 점심 12시 알람 맞춰주세요,알람
10시간 후에 알람 맞춰주세요,알람
pm 1시에 깨워줄래요,알람
7시 정각에 알람 맞춰줄래,알람
아침 7시에  알람 맞춰주세요,알람
정오에 알람 맞춰줄래요,알람
7시 am에 알람 맞춰줄래요,알람
pm 1시에 깨워줄래요,알람
와이파이,와이파이
인터넷,와이파이
네트워크,와이파이
네트워크 연결,와이파이
와이파이 연결,와이파이
와이파이 통신,와이파이
인터넷 통신,와이파이
네트워크 통신,와이파이
네트워크 통신 연결,와이파이
와이파이 통신 연결,와이파이
통신 불안해,와이파이
와이파이 연결할래,와이파이
와이파이 연결할 거야,와이파이
와이파이 끊겼네,와이파이
와아파이 설정,와이파이
네트워크 설정,와이파이
와이파이 설정해줘,와이파이
wifi,와이파이
인터넷,와이파이
네트워크,와이파이
네트워크 연결,와이파이
wifi 연결,와이파이
wifi 통신,와이파이
인터넷 통신,와이파이
네트워크 통신,와이파이
네트워크 통신 연결,와이파이
wifi 통신 연결,와이파이
통신 불안해,와이파이
wifi 연결할래,와이파이
wifi 연결할 거야,와이파이
wifi 끊겼네,와이파이
네트워크 설정,와이파이
wifi 설정해줘,와이파이
와이파이 켜줘,와이파이
와이파이 킬래,와이파이
wifi 켜줘,와이파이
wifi 킬래,와이파이
알려줄래,위키
알려주라,위키
알려주세요,위키
알려주실까요,위키
궁금하고만,위키
궁금하구만,위키
궁금해요,위키
궁금해 죽겠어요,위키
박미선 궁금해,위키
전라북도 뭐야,위키
컴퓨터에 대해서 알려줘,위키
알고리즘에 대해서 알려줘,위키
냉장고 뭐야,위키
오징어 뭐야,위키
문어에 대해서 알려줘,위키
바지에 대해서 알려줘,위키
역사 뭐야,위키
의자 뭔지 알아,위키
가방이 뭔지 궁금해,위키
김두한이 뭔지 궁금해,위키
개그콘서트 뭐야,위키
다리미 뭐야,위키
전기장판 뭐야,위키
노래방이 뭔지 알아,위키
너 대게 맛을 알아,위키
과자 뭐야,위키
보리차 뭐니,위키
바람개비 뭐야,위키
색연필 뭐야,위키
호랑 뭐야,위키
사과 뭐야,위키
인생 뜻 알려줘,위키
윤보미 나이 뜻 알려줘,위키
박신양 뜻 알려줘,위키
박신양 나이 뜻 알려줘,위키
박미래 대표작 뜻 알려줘,위키
김태희 남편 뜻 알려줘,위키
전현무 대표작 궁금해,위키
김태희 대표작 뜻 알려줘,위키
한국 대통령이 뜻 알려줘,위키
UN 사무총장 뜻 알려줘,위키
윤동주 뜻 알려줘,위키
유재석 무슨 뜻,위키
이육사 무슨 뜻,위키
물고가에 대해서 무슨 뜻,위키
십자군에 대해서 무슨 뜻,위키
관절 무슨 뜻,위키
박테리아 뭔지 무슨 뜻,위키
수란 무슨 뜻,위키
학교 무슨 뜻,위키
그늘 뭐냐,위키
헤이즈 무슨 뜻,위키
모자 무슨 뜻,위키
필통 무슨 뜻,위키
전등에 대해서 무슨 뜻,위키
ARS 뭐야,위키
세상이 뭐냐,위키
인생 뭘까,위키
윤보미 나이 알려줘,위키
박신양 몇살이야,위키
박신양 나이 궁금해,위키
박미래 대표작 궁금해,위키
김태희 대표작 궁금해,위키
김종국 궁금해,위키
탕수육 뭐야,위키
물고가에 대해서 알려줘,위키
너 육지 뭔지 알아,위키
위선자 뭔지 알아,위키
너 설탕이 뭔지 알아,위키
소금이 뭔지 알아,위키
오매불망이 뭔지 알아,위키
가요 무슨 뜻이야,위키
강아지 뭐야,위키
너 휴지 뭔지 알아,위키
메시 뭔지 궁금해,위키
엘클라시코 뭐야,위키
레알마드리드 뭐야,위키
골대 뭔지 뭐냐,위키
너 자장면 맛을 알아,위키
너 백열등 뭐냐,위키
간사 뭐야,위키
오사카 뭐야,위키
트럼프 나이 몇살이니,위키
정우성의 대표작 뭐니,위키
증인이 뭔지 알아,위키
라면이 뭔지 궁금해,위키
웃찾사 뭐야,위키
치킨이 뭔지 알아,위키
너 치킨 맛을 알아,위키
나초 뭐야,위키
커피 뭐니,위키
환타 뭐냐,위키
도깨비에 대해서 알려줘,위키
너 호롱불에 대해서 알고 있니,위키
중국이 뭔지 알아,위키
디지몬 뭐야,위키
파이리 뭐야,위키
풍차 뭐야,위키
숭어 뭐냐,위키
에픽하이 우산 들려줘,음악
윤하 우산 들려줘,음악
윤하의 우산 들려주라,음악
우산 노래 들려줘,음악
에픽하이의 우산 들려줘,음악
레인보우 노래 들려줘,음악
조현영 노래 들려줘,음악
가인 노래 들려줘,음악
브라운 아이드걸스,음악
달샤벳 노래 들려줘,음악
디지몬 주제가 들려줘,음악
뽀로로 주제가 들려줘,음악
포켓몬 주제가 들려줘,음악
도끼 노래 들려줘,음악
김효은 노래 들려줘,음악
매드 클라운 노래 들려줘,음악
어반자카파 노래 들려줘,음악
어반 자카파 노래 들려주라,음악
서태지의 로보트 들려주라,음악
좋은 노래 추천좀 해줘,음악
걸스데이 노래 추천해줘,음악
씨잼 비와이 추천해주라,음악
비와이 노래 들려주겠니,음악
베이식 노래 들려줘,음악
슈퍼비 면도 언 에듀케이트 노래 들려줘,음악
루피 나플라 콜라보 추천해줘,음악
나플라 wu 듣고싶어,음악
아이오아이 노래 추천해줘,음악
뽀로로 노래 들려줄래,음악
그 투에니원 노래 들려줄수 있니,음악
지아 음악 들을래,음악
노을 mp3 추천해주라,음악
허각 목소리 좋던데 들려줘,음악
윤도현의 길 틀어줘,음악
넬 노래 틀어줘,음악
아이비 노래 들으려고,음악
다시 만난 세계 노래 틀어주라,음악
나 신나는 노래 듣고싶어,음악
나 우울한데 슬픈 노래 추천해줘,음악
기쁜 노래 들려줄 수 있니,음악
애드시어런의 쉐이프오브미 추천해줘,음악
혁오 밴드 노래 듣고 싶어요,음악
노래 들려줘,음악
감성 힙합 추천해주라,음악
가슴 아픈 발라드 들려줘,음악
잭스키스 아프지 마요 들을래,음악
요즘 가요 추천해줘,음악
신나는 EDM 음악 들려줘,음악
장범준 노래 들을래,음악
그 영화 기억 안나는데 ost 추천해줘,음악
이름은 모르겠는데 마룬 파이브 노래 들려줘,음악
트둥이 노래 들려주겠니,음악
다비치 들려줘,음악
원더걸스 추억의 노래 추천해줘,음악
미스 에이 수지 노래 들려주라,음악
포미닛 노래 들려줘,음악
빅뱅 뱅뱅뱅 노래 틀어줘,음악
그레이 노래 들려줘,음악
고등래퍼 히트곡 틀어 주라,음악
노래 하기나 해 들려줘,음악
크러쉬 노래가 추천해줘,음악
블루스 음악 들을래,음악
재즈 음악 추천해줘,음악
증인 ost 들려주라,음악
이 노래가 클럽에서 나온다면 우디 추천해줘,음악
윤종신 좋니 노래 슬프더라,음악
노래 추천 해줄래,음악
음악 들려줄래,음악
노래 재생해줘,음악
노래 틀어줘,음악
신나는 음악 하나만 재생해줄래,음악
가요 틀어주라,음악
오아시스 노래 듣고 싶네,음악
김범수 노래 틀어 줬으면 좋겠네,음악
샤이니 음악 추천해줘,음악
스윙스 노래 들을래,음악
빅스 노래 틀어줘,음악
청하 음악 들을래,음악
winner의 노래가 듣고 싶어져,음악
현아의 베베 듣고 싶어요,음악
수란의 오늘 취하면 듣고 싶네,음악
지코 음악 들려줘,음악
더콰이엇 플로우 좋던데 노래 추천해줘,음악
보아 노래 들을래,음악
Boa 음악 들려줘,음악
이 bgm 뭐니 들려줘,음악
엑소 오빠들 노래 들을래,음악
정준영 노래 추천해줘,음악
비투비 노래 좋던데,음악
동방신기 주문 미로틱 들려줘,음악
오마이걸 노래 들을래,음악
행주 보이비 노래 들려줘,음악
이센스 애넥도트 들을래,음악
구수한 트로트 틀어줄래,음악
알앤비 소울 들려줘,음악
첸의 make it count 들을래,음악
비투비 오빠들 노래 들을래,음악
멜론 차트 틀어줄래,음악
숀 way back home 들려줘,음악
ariana grande 음악 추천해주라,음악
버벌진트 노래 좋던데 들려줘,음악
aoa 노래 좋더라,음악
소녀시대 노래가 그렇게 좋더라,음악
believer 음악 재생 해주라,음악
방탄 재생해줘,음악
방탄 소년단 노래 재생해줘,음악
방탄 오빠들 음악 들려주라,음악
요즘 이슈 알려줘,이슈
요즘 사회적인 이슈 알려줘,이슈
최근 이슈 알려줘,이슈
정치적 이슈 알려줘,이슈
요즘 이슈 알려줘,이슈
요즘 사회적인 이슈 알려줘,이슈
최근 이슈 알려줘,이슈
요즘 무슨일이 있었니,이슈
요슴 있던일 알려줘,이슈
최근 있던일 알려줘,이슈
요즘 핫한게 뭐니,이슈
최근 핫했던것 알려줘,이슈
요즘 최신의 이슈가 뭐니,이슈
요즘 핫했던 이슈 알려줘,이슈
요즘 뜨는 일 알려줘,이슈
핫했던 거 알려줄래,이슈
요즘 주요 이슈 알려줘,이슈
이슈 어떤 게 있어,이슈
요즘 가장 화제가 됐던 거 알려줘,이슈
화제의 이슈 알려줘,이슈
화제의 사건 뭐 있니,이슈
요즘 화제의 사건 알려줘,이슈
이슈 알려주라,이슈
요즘 가장 유행하는게 뭐니,이슈
최근 가장 유행하는게 뭐니,이슈
요즘 뜨는게 뭐니,이슈
요즘 가장 뜨는게 뭐니,이슈
요즘 무슨일이 있었니,이슈
요슴 있던일 알려줘,이슈
최근 있던일 알려줘,이슈
요즘 핫한게 뭐니,이슈
최근 핫했던것 알려줘,이슈
요즘 최신의 이슈가 뭐니,이슈
요즘 핫했던 이슈 알려줘,이슈
요즘 뜨는 일 알려줘,이슈
핫했던 거 알려줄래,이슈
요즘 주요 이슈 알려줘,이슈
이슈 어떤 게 있어,이슈
요즘 가장 화제가 됐던 거 알려줘,이슈
화제의 이슈 알려줘,이슈
화제의 사건 뭐 있니,이슈
요즘 화제의 사건 알려줘,이슈
이슈 알려주라,이슈
요즘 가장 유행하는게 뭐니,이슈
최근 가장 유행하는게 뭐니,이슈
요즘 뜨는게 뭐니,이슈
요즘 가장 뜨는게 뭐니,이슈
요즘 이슈 알려줘요,이슈
요즘 사회적인 이슈 알려줘요,이슈
최근 이슈 알려줘요,이슈
정치적 이슈 알려줘요,이슈
요즘 이슈 알려줘요,이슈
요즘 사회적인 이슈 알려줘요,이슈
최근 이슈 알려줘요,이슈
요즘 무슨일이 있었나요,이슈
요슴 있던일 알려줘요,이슈
최근 있던일 알려줘요,이슈
요즘 핫한게 뭐 있나요,이슈
최근 핫했던것 알려줘요,이슈
요즘 최신의 이슈가 뭐 있나요,이슈
요즘 핫했던 이슈 알려줘요,이슈
요즘 뜨는 일 알려줘요,이슈
핫했던 거 알려줄래요,이슈
요즘 주요 이슈 알려줘요,이슈
이슈 어떤 게 있어요,이슈
요즘 가장 화제가 됐던 거 알려줘요,이슈
화제의 이슈 알려줘요,이슈
화제의 사건 뭐 있나요,이슈
요즘 화제의 사건 알려줘요,이슈
이슈 알려주라요,이슈
요즘 가장 유행하는게 뭐 있나요,이슈
최근 가장 유행하는게 뭐 있나요,이슈
요즘 뜨는게 뭐 있나요,이슈
요즘 가장 뜨는게 뭐 있나요,이슈
요즘 무슨일이 있었나요,이슈
요슴 있던일 알려줘요,이슈
최근 있던일 알려줘요,이슈
요즘 핫한게 뭐 있나요,이슈
최근 핫했던것 알려줘요,이슈
요즘 최신의 이슈가 뭐 있나요,이슈
요즘 핫했던 이슈 알려줘요,이슈
요즘 뜨는 일 알려줘요,이슈
핫했던 거 알려줄래요,이슈
요즘 주요 이슈 알려줘요,이슈
이슈 어떤 게 있어요,이슈
요즘 가장 화제가 됐던 거 알려줘요,이슈
화제의 이슈 알려줘요,이슈
화제의 사건 뭐 있나요,이슈
요즘 화제의 사건 알려줘요,이슈
이슈 알려주라요,이슈
요즘 가장 유행하는게 뭐 있나요,이슈
최근 가장 유행하는게 뭐 있나요,이슈
요즘 뜨는게 뭐 있나요,이슈
요즘 가장 뜨는게 뭐 있나요,이슈
권지용 누구니,인물
누구니 박미선,인물
누구라고 그 게,인물
누굴까 김지원,인물
윤동주 누구야,인물
하석주 누구야,인물
누구야 김동주,인물
김철수 누군데,인물
박근혜 누구야,인물
에이핑크 누군지 궁금해,인물
걸스데이 누군지 궁금해,인물
이병철 누군지 궁금해,인물
기요틴 뭔지 궁금해,인물
아이오아이 누구야,인물
이영실 누구야,인물
최순실 누구라고,인물
이건희 누군지 궁금해,인물
시라소니 누군지 알아,인물
누구야 소크라테스,인물
박나래 누군데,인물
최태훈 누구니,인물
박미래 누군지 알고있니,인물
김희철 누구지,인물
김태희 누구니,인물
누구니 김수경,인물
이상미 누군지 궁금해,인물
김근영 누군지 궁금해,인물
그레이 누군데,인물
헤이즈 누구야,인물
수란 누구야,인물
최영민 누군지 궁금해,인물
유재석 누굴까,인물
누굴까 이육사,인물
강호동 누굴까,인물
유병재 누굴까,인물
비와이 누굴까,인물
해시스완 누군데,인물
누구냐 행주,인물
누구라고 피아노맨,인물
이센스 누구냐,인물
에미넴 누구냐,인물
넉살 누구냐,인물
베이즈 누구냐,인물
정몽주 누군지 궁금해,인물
정준영 누군지 알아,인물
승리 누군지 궁금해,인물
제라드 누군지 궁금해,인물
스터리지 누구라고 알아,인물
호나우두 누구,인물
한국 대통령 누구죠,인물
UN 사무총장 누구죠,인물
누구죠 김태희 남편,인물
박신양 와이프 누구죠,인물
미국 대통령 누구라고,인물
잘 못 들었어,잘못들음
잘못 들었어,잘못들음
잘못 들음,잘못들음
잘 못 들음,잘못들음
다시 말 해,잘못들음
다시 말해줘,잘못들음
다시 말해주라,잘못들음
다시 말해줄래,잘못들음
잘못 들었다고,잘못들음
잘 못 들었다고,잘못들음
아 잘 못 들었어,잘못들음
아 다시 말해봐,잘못들음
잘 못 들었다니까,잘못들음
다시 말해 주겠니,잘못들음
한 번만 다시 말해,잘못들음
다시 한 번 말해줘,잘못들음
다시 말해 달라고,잘못들음
아니 다시 말하라고,잘못들음
다시 말해 달라고,잘못들음
야 다시 말해,잘못들음
잘못 들었네,잘못들음
나 잘못 들었어,잘못들음
나 잘 못 들었어,잘못들음
다시 말하라고,잘못들음
뭐라고,잘못들음
뭐라고 했니,잘못들음
뭐라고 했냐,잘못들음
아까 뭐라고 했니,잘못들음
방금 뭐라고,잘못들음
뭐라고 했어,잘못들음
뭐라고 말했니,잘못들음
잘 못 들었는데 아까 뭐라고,잘못들음
아까 뭐라고 했었냐,잘못들음
아까 뭐라 했냐,잘못들음
방금 뭐라 했냐,잘못들음
뭐라고 했었지,잘못들음
뭐라고 했었냐,잘못들음
방금 뭐라고 했었지,잘못들음
아까 뭐라고 했었지,잘못들음
뭐라고 잘 못들었어,잘못들음
뭐라고 잘 못들었네,잘못들음
다시 말해,잘못들음
다시 말해줘,잘못들음
다시 말해줄래,잘못들음
다시 말해주라,잘못들음
다시 말해줄 수 있니,잘못들음
